companyId;companyName;companyRegistrationNumber;companyFoundationDate;country;zipCode;city;streetAddress;latitude;longitude;companyOwner;employees;activity;active;email;password
26;Diam Lorem Auctor Limited;737022-2007;2014-08-06;Czech Republic;3025;Retiro;115-4328 Mollis. Avenue;25.26154;88.27236;Lucian Guthrie;55;Car;true;iaculis.odio@risusodioauctor.org;felis.
27;Fusce Aliquet LLC;505774-5464;2012-07-07;French Guiana;56191;Sambreville;P.O. Box 611, 2079 A Street;-45.02808;-32.71053;Gray Elliott;232;Building Industry;true;Duis.a.mi@faucibus.org;accumsan
40;In At Pede Ltd;399639-6861;2007-05-19;Norway;46738;Gorbea;Ap #494-1350 Orci, Rd.;-44.48784;21.20729;Bradley Small;474;Building Industry;true;Nam.porttitor@lacusUt.com;sodales
41;Bibendum Ullamcorper Duis LLP;697656-2709;2012-05-07;Armenia;4421;Zona Bananera;P.O. Box 798, 7239 Ligula. St.;-26.71934;136.00369;Aidan Ortiz;204;Growing Plants;false;Nunc.quis.arcu@anunc.org;arcu.
47;Vehicula Pellentesque Corp.;809126-6471;1980-10-06;Dominica;1028;Mainz;788-8720 Velit Street;-86.07504;70.40259;Samuel Le;453;Building Industry;false;Donec@tellusAeneanegestas.edu;lacus.
48;Ante Bibendum Ullamcorper Foundation;952209-0514;1987-04-09;Jersey;984637;Bouwel;P.O. Box 863, 9246 Interdum. Avenue;76.39694;34.35133;Aristotle Noble;282;Growing Plants;true;Fusce.dolor@mauriselitdictum.edu;aliquam
56;Et Euismod Et Consulting;934575-2878;2019-02-21;Curaçao;55507;Warminster;Ap #974-3390 Suspendisse Avenue;-58.95948;29.22972;Demetrius Holloway;396;Food;false;Proin.nisl.sem@mattis.ca;primis
57;Mollis PC;212117-5679;1989-02-17;Albania;2938;Jackson;Ap #348-2018 Lectus Rd.;-51.36397;-149.81456;Eaton Pennington;397;Building Industry;true;vitae.erat@sapien.org;egestas,
68;Ac Nulla Corp.;086707-9717;1997-02-26;Kyrgyzstan;51711;Colledimacine;3553 Elementum Avenue;69.52146;-66.08975;Zeus Crawford;458;IT;false;erat.vitae.risus@Craseutellus.edu;Morbi
70;Nulla Facilisi LLP;548134-2904;1999-02-19;Northern Mariana Islands;67111;Requínoa;1667 Bibendum Ave;48.60493;-174.39938;Jackson Baird;273;Growing Plants;true;dui@aliquam.edu;arcu.
83;Vulputate Associates;673363-7430;1996-06-06;Ireland;37724;Bras;P.O. Box 922, 8151 Volutpat Rd.;74.14739;-59.65905;Armand Howell;442;Growing Plants;true;dis.parturient@eros.co.uk;lacus.
84;Ligula Aliquam Erat Ltd;806640-1772;2016-11-07;Singapore;697586;Dole;P.O. Box 722, 8313 Laoreet Road;-34.46051;13.72711;Patrick Mcfarland;405;IT;false;orci@pede.com;interdum
86;Ligula LLC;956856-4844;1996-07-24;Cuba;7748;Río Ibáñez;P.O. Box 335, 394 Dictum Av.;-23.00652;96.81938;Griffin Mcintyre;466;Car;false;augue.scelerisque.mollis@afelisullamcorper.net;Mauris
87;Et Commodo Limited;442801-8735;2002-12-20;France;8396;Rixensart;7720 Quisque Ave;60.00947;66.99372;Kermit Maddox;310;Growing Plants;true;penatibus@dapibusidblandit.edu;enim
88;Aliquet Metus Urna Associates;203888-3068;2004-12-05;Tonga;241312;Allentown;Ap #632-6950 In Street;53.25403;132.63357;Fletcher Langley;213;Car;false;dictum@egestasSed.ca;mauris.
89;Elit Sed Consequat Foundation;742337-5281;1976-01-08;Guinea-Bissau;72654-179;Cinisi;2153 Sit Avenue;-73.94114;142.51448;Austin Mayer;57;Car;false;a.arcu@eget.com;vitae
97;Erat LLP;674411-4775;2013-11-01;French Guiana;Z5708;Longvilly;Ap #960-133 Arcu. Rd.;-37.52415;-121.76164;Amos Osborn;164;Growing Plants;true;nunc@ametorci.net;arcu.
